id_estudiante,nombre,apellido,edad,ciudad,correo,telefono,promedio,estado_solicitud,fecha_registro,programa,modalidad,creditos_aprobados,beca,ingresos
0,Maria,Gomez,treinta,Medellín,maria.gomez@mail.com,,2.42,En proceso,2025-01-15,Ingeniería,Virtual,-5.0,Sí,
1,Jorge,Martinez,120,Barranquilla,correo_invalido,3001234567,,Pendiente,2025-01-15,fisica,virtual,-5.0,si,999999999.0
2,Maria,Castro,cincuenta,Cali,,,3.81,Aprobado,2025-01-15,Matemáticas,Virtual,300.0,si,
3,Juan,Martinez,34,Medellín,correo_invalido,abc123,cuatro,Rechazado,15/02/2025,ingenieria,Hibrida,300.0,si,
4,Jorge,Martinez,,Barranquilla,jorge@gmail,+57 3109876543,,Aprobado,,ingenieria,Virtual,300.0,si,2110460.0
5,Luisa,Martinez,,Barranquilla,,(601)1234567,,Rechazado,15/02/2025,ingenieria,Presencial,,si,999999999.0
6,Carlos,Torres,21,bogota,,,2.46,Aprobado,2025-01-15,Matemáticas,virtual,300.0,NO,
7,Jorge,Garcia,cincuenta,bogota,,3001234567,2.88,Rechazado,15/02/2025,Fisica,Presencial,300.0,Sí,
8,Carlos,Hernandez,120,Bogotá,carlos.hernandez@mail.com,3001234567,cuatro,Rechazado,2025/04/01,Doctorado,Hibrida,-5.0,No,2321324.0
9,Maria,Lopez,,BOGOTA,,(601)1234567,,Pendiente,2025/04/01,fisica,Hibrida,300.0,NO,
10,Maria,Martinez,30,Cali,maria@gmail,,,Pendiente,2025-01-15,Ingeniería,Virtual,29.0,Sí,999999999.0
11,Jorge,Martinez,,Medellín,,(601)1234567,,En proceso,2025/04/01,Doctorado,virtual,12.0,No,999999999.0
12,Andres,Torres,19,Bogotá,andres.torres@mail.com,(601)1234567,cuatro,Pendiente,2025/04/01,ingenieria,PRESENCIAL,,NO,999999999.0
13,Ana,Rodriguez,120,bogota,ana.rodriguez@mail.com,3001234567,,Pendiente,15/02/2025,ingenieria,virtual,-5.0,NO,7728339.0
14,Andres,Gomez,cincuenta, Bucaramanga ,,(601)1234567,,Pendiente,2025-01-15,INGENIERIA,Presencial,74.0,Sí,6261415.0
15,Valentina,Torres,120,BOGOTA,valentina.torres@mail.com,(601)1234567,,Aprobado,,Fisica,Virtual,51.0,No,
16,Juan,Rodriguez,120,Cali,correo_invalido,(601)1234567,4.8,Rechazado,2025/04/01,Matemáticas,Presencial,300.0,si,2217071.0
