id_estudiante,nombre,apellido,edad,ciudad,correo,telefono,promedio,estado_solicitud,fecha_registro,programa,modalidad,creditos_aprobados,beca,ingresos
0,Maria,Gomez,38.0,Medellin,maria.gomez@mail.com,,2.42,En Proceso,2025-01-15,Ingenieria,Virtual,,Si,
1,Jorge,Martinez,38.0,Barranquilla,,3001234567,3.67,Pendiente,2025-01-15,Fisica,Virtual,,Si,
2,Maria,Castro,38.0,Cali,,,3.81,Aprobado,2025-01-15,Matematicas,Virtual,,Si,
3,Juan,Martinez,34.0,Medellin,,,3.67,Rechazado,2025-02-15,Ingenieria,Hibrida,,Si,
4,Jorge,Martinez,38.0,Barranquilla,,,3.67,Aprobado,,Ingenieria,Virtual,,Si,2110460.0
5,Luisa,Martinez,38.0,Barranquilla,,6011234567,3.67,Rechazado,2025-02-15,Ingenieria,Presencial,,Si,
6,Carlos,Torres,21.0,Bogota,,,2.46,Aprobado,2025-01-15,Matematicas,Virtual,,No,
7,Jorge,Garcia,38.0,Bogota,,3001234567,2.88,Rechazado,2025-02-15,Fisica,Presencial,,Si,
8,Carlos,Hernandez,38.0,Bogota,carlos.hernandez@mail.com,3001234567,3.67,Rechazado,2025-04-01,Doctorado,Hibrida,,No,2321324.0
9,Maria,Lopez,38.0,Bogota,,6011234567,3.67,Pendiente,2025-04-01,Fisica,Hibrida,,No,
10,Maria,Martinez,30.0,Cali,,,3.67,Pendiente,2025-01-15,Ingenieria,Virtual,29.0,Si,
11,Jorge,Martinez,38.0,Medellin,,6011234567,3.67,En Proceso,2025-04-01,Doctorado,Virtual,12.0,No,
12,Andres,Torres,19.0,Bogota,andres.torres@mail.com,6011234567,3.67,Pendiente,2025-04-01,Ingenieria,Presencial,,No,
13,Ana,Rodriguez,38.0,Bogota,ana.rodriguez@mail.com,3001234567,3.67,Pendiente,2025-02-15,Ingenieria,Virtual,,No,7728339.0
14,Andres,Gomez,38.0,Bucaramanga,,6011234567,3.67,Pendiente,2025-01-15,Ingenieria,Presencial,74.0,Si,6261415.0
15,Valentina,Torres,38.0,Bogota,valentina.torres@mail.com,6011234567,3.67,Aprobado,,Fisica,Virtual,51.0,No,
16,Juan,Rodriguez,38.0,Cali,,6011234567,4.8,Rechazado,2025-04-01,Matematicas,Presencial,,Si,2217071.0
17,Valentina,Rodriguez,38.0,Medellin,,3001234567,3.52,Pendiente,,Ingenieria,Hibrida,,No,9874152.0
18,Pedro,Rodriguez,38.0,Bogota,,,3.67,Rechazado,2025-03-20,Fisica,Presencial,,Si,
19,Juan,Rodriguez,38.0,Medellin,,,3.67,Pendiente,2025-02-15,Fisica,Virtual,71.0,No,2876932.0
20,Jorge,Gomez,38.0,Bogota,,,3.29,Aprobado,2025-04-01,Ingenieria,Presencial,85.0,No,
21,Valentina,Lopez,38.0,Bogota,,,4.64,En Proceso,2025-04-01,Doctorado,Presencial,20.0,Si,7417985.0
22,Ana,Martinez,38.0,Medellin,,3001234567,4.46,Pendiente,,Matematicas,Hibrida,110.0,Si,
23,Andres,Hernandez,17.0,Medellin,andres.hernandez@mail.com,3001234567,3.67,En Proceso,2025-02-15,Ingenieria,Hibrida,77.0,No,
24,Pedro,Gomez,43.0,Medellin,,,3.09,Rechazado,2025-04-01,Fisica,Virtual,,Si,
25,Pedro,Lopez,38.0,Barranquilla,,,4.03,Aprobado,2025-04-01,Ingenieria,Hibrida,,No,
26,Ana,Torres,26.0,Medellin,,3001234567,3.67,Pendiente,2025-01-15,Fisica,Hibrida,,No,3472189.0
27,Ana,Torres,55.0,Bucaramanga,,,3.67,En Proceso,2025-02-15,Matematicas,Presencial,83.0,No,
28,Carlos,Torres,38.0,Medellin,,6011234567,4.75,En Proceso,,Fisica,Presencial,,Si,
29,Camila,Lopez,38.0,Medellin,,,3.67,En Proceso,2025-03-20,Fisica,Presencial,56.0,Si,5793722.0
30,Luisa,Hernandez,50.0,Bogota,,6011234567,3.67,Aprobado,2025-02-15,Matematicas,Virtual,,Si,7975534.0
31,Andres,Castro,53.0,Barranquilla,,,3.67,En Proceso,2025-04-01,Fisica,Presencial,,No,
32,Juan,Castro,38.0,Bogota,juan.castro@mail.com,,4.52,Aprobado,2025-03-20,Ingenieria,Virtual,,No,4048907.0
33,Andres,Hernandez,38.0,Cali,,,3.67,Rechazado,2025-01-15,Doctorado,Virtual,2.0,No,6871360.0
34,Juan,Gomez,38.0,Bogota,,,3.86,Aprobado,,Fisica,Presencial,,No,7189034.0
35,Valentina,Rodriguez,38.0,Bogota,,,3.67,Pendiente,2025-01-15,Ingenieria,Presencial,,No,
36,Luisa,Castro,38.0,Bogota,luisa.castro@mail.com,,3.67,En Proceso,2025-02-15,Ingenieria,Virtual,,Si,
37,Jorge,Garcia,38.0,Bucaramanga,,,3.67,Pendiente,,Doctorado,Virtual,,Si,
38,Valentina,Castro,37.0,Bucaramanga,,6011234567,4.55,Rechazado,2025-02-15,Doctorado,Hibrida,,Si,
39,Maria,Martinez,38.0,Medellin,,,3.67,Aprobado,,Ingenieria,Hibrida,,No,
40,Luisa,Torres,38.0,Cali,,,3.67,En Proceso,2025-01-15,Ingenieria,Hibrida,29.0,Si,
41,Jorge,Lopez,38.0,Bucaramanga,,3001234567,3.67,Pendiente,,Ingenieria,Presencial,,Si,
42,Carlos,Garcia,18.0,Medellin,,3001234567,4.09,Aprobado,2025-01-15,Fisica,Hibrida,,No,6716097.0
43,Pedro,Torres,23.0,Barranquilla,pedro.torres@mail.com,6011234567,3.67,Pendiente,2025-04-01,Doctorado,Presencial,,Si,
44,Valentina,Martinez,38.0,Bucaramanga,,,3.67,Aprobado,2025-01-15,Fisica,Virtual,,No,
45,Carlos,Martinez,38.0,Bogota,,,3.67,En Proceso,2025-02-15,Ingenieria,Virtual,,No,8617381.0
46,Pedro,Martinez,43.0,Medellin,,3001234567,3.67,Aprobado,2025-03-20,Ingenieria,Hibrida,56.0,Si,
47,Andres,Garcia,38.0,Bucaramanga,andres.garcia@mail.com,,3.67,Rechazado,2025-03-20,Fisica,Hibrida,,Si,
48,Valentina,Gomez,38.0,Bucaramanga,,,4.75,Aprobado,2025-03-20,Matematicas,Hibrida,,No,2754894.0
49,Andres,Torres,38.0,Bogota,,,3.67,Aprobado,2025-02-15,Doctorado,Virtual,,Si,7933143.0
50,Jorge,Hernandez,38.0,Bucaramanga,,,4.28,Pendiente,2025-02-15,Ingenieria,Virtual,15.0,No,
51,Pedro,Gomez,38.0,Bogota,,3001234567,2.67,Pendiente,2025-04-01,Matematicas,Hibrida,,Si,8922533.0
52,Jorge,Lopez,38.0,Bogota,,,3.67,Rechazado,2025-04-01,Doctorado,Virtual,,Si,9214801.0
53,Jorge,Torres,38.0,Barranquilla,,6011234567,3.67,En Proceso,2025-02-15,Ingenieria,Virtual,,Si,
54,Camila,Gomez,38.0,Cali,camila.gomez@mail.com,,3.67,En Proceso,2025-03-20,Ingenieria,Presencial,,No,
55,Luisa,Castro,57.0,Cali,,,3.67,En Proceso,2025-03-20,Doctorado,Presencial,79.0,Si,
